ts_ms,kind,id,sub,outcome,end_ms,latency_ms,detail
23262.98,CALL,W8-4,slow_greet,degraded,23263.01,0.03,[fallback-slow] Service temporarily unavailable 
23263.68,CALL,W12-4,slow_greet,degraded,23263.75,0.07,[fallback-slow] Service temporarily unavailable 
23263.81,CALL,W4-4,slow_greet,degraded,23263.82,0.01,[fallback-slow] Service temporarily unavailable 
23263.83,CALL,W14-4,slow_greet,degraded,23263.84,0.01,[fallback-slow] Service temporarily unavailable 
23263.86,CALL,W15-4,slow_greet,degraded,23263.88,0.01,[fallback-slow] Service temporarily unavailable 
23263.91,CALL,W13-4,slow_greet,degraded,23263.93,0.01,[fallback-slow] Service temporarily unavailable 
23264.31,CALL,W9-4,slow_greet,degraded,23264.32,0.01,[fallback-slow] Service temporarily unavailable 
23292.34,CALL,W6-5,slow_greet,degraded,23292.42,0.08,[fallback-slow] Service temporarily unavailable 
23292.54,CALL,W3-5,slow_greet,degraded,23292.62,0.08,[fallback-slow] Service temporarily unavailable 
23292.65,CALL,W7-5,slow_greet,degraded,23292.66,0.01,[fallback-slow] Service temporarily unavailable 
23292.69,CALL,W0-5,slow_greet,degraded,23292.7,0.01,[fallback-slow] Service temporarily unavailable 
23292.71,CALL,W1-5,slow_greet,degraded,23292.73,0.01,[fallback-slow] Service temporarily unavailable 
23292.74,CALL,W5-5,slow_greet,degraded,23292.75,0.01,[fallback-slow] Service temporarily unavailable 
23292.77,CALL,W11-5,slow_greet,degraded,23292.78,0.01,[fallback-slow] Service temporarily unavailable 
23292.79,CALL,W10-5,slow_greet,degraded,23292.8,0.01,[fallback-slow] Service temporarily unavailable 
23293.98,CALL,W8-5,slow_greet,degraded,23293.99,0.01,[fallback-slow] Service temporarily unavailable 
23294.06,CALL,W2-5,slow_greet,degraded,23294.09,0.02,[fallback-slow] Service temporarily unavailable 
23294.1,CALL,W13-5,slow_greet,degraded,23294.12,0.01,[fallback-slow] Service temporarily unavailable 
23294.17,CALL,W15-5,slow_greet,degraded,23294.18,0.01,[fallback-slow] Service temporarily unavailable 
23294.23,CALL,W14-5,slow_greet,degraded,23294.23,0.01,[fallback-slow] Service temporarily unavailable 
